codigo_completo,naturaleza,grupo,subgrupo,codigo,nombre,descripcion
1.9.04,1,9,04,,Otros no Operacionales,Ingresos varios no contemplados en los subgrupos anteriores.
1.9.04.01,1,9,04,01,Comisiones,Ingresos provenientes delaparticipaciónen actividades productivas de las entidades y organismos delsector públicoque reciben por concepto de comisiones.
1.9.04.03,1,9,04,03,Prima de Riesgo de Instituciones Financieras,Ingresos provenientes de la prima de riesgo sobre el promedio de saldos de depósitos en las instituciones financieras.
1.9.04.04,1,9,04,04,Recaudaciones por Obligaciones de Terceros Canceladas a la Seguridad Social,"Ingresos por recuperaciones de intereses por mora, responsabilidad patronal y coactivas con el IESS."
1.9.04.05,1,9,04,05,Ingresos de Bienes Provenientes de Chatarrización,Ingresos provenientes de bienes sometidosachatarrización que han sido dec lara dosobsoletosoinservib les de propiedad de las entidades y organismos del sector público.
1.9.04.06,1,9,04,06,Utilidades no Cobradas según el Código de Trabajo,Utilidades no cobradas por los trabajadores dentro de los plazos establecidos en la normativa legal vigente.
1.9.04.07,1,9,04,07,Devolución de disponibilidades,"Ingresos provenientes por devolucióndedisponibilida desde recursos pagadosenperíodos fiscales anteriores yrecuperados por las entidades a través de regulaciones, ajustes y diferencias en pagos realizados y cumplimiento de Sentencias de Tribunales resueltos por Jueces de la República y procesosco activos"
1.9.04.99,1,9,04,99,Otros no Especificados,Ingresos no tributarios recaudados por conceptos no especificados en los ítems anteriores.
2,2,,,,INGRESOS DE CAPITAL,"Los ingresos de capital provienen de la venta de bienes de larga duración , intangibles , recursos públicos deorigenpetrolero recuperación de inversiones y recepción de fondos como transferencias o donaciones, destinadas a financiar egresos de capital e inversión, su devengo produce contablemente modificaciones directas en la composición patrimonial del Estado."
2.4,2,4,,,VENTA DE ACTIVOS NO FINANCIEROS,"Comprende los ingresos por la venta de bienes muebles , inmuebles , bienes biológicos , intangibles y otros activos de capital no financiero de propiedad del Estado."
2.4.01,2,4,01,,Bienes Muebles,"Ingresos por la venta de mobiliario, maquinaria, equipos, vehículos, herramientas, bienes artísticos, culturales, libros, colecciones y otros."
2.4.01.03,2,4,01,03,Mobiliario,Ingresos provenientes de la venta o remate de todotipo de mobiliario.
2.4.01.04,2,4,01,04,Maquinarias y Equipos,"Ingresos provenientes de la venta o remate de maquinarias y equipos de uso agropecuario, industrial, médico, de comunicaciones y otros bienes de larga duración, excepto equipos informáticos."
2.4.01.05,2,4,01,05,Vehículos,"Ingresos provenientes de la venta o remate de vehículos de transporte terrestre, ferroviario, aéreo, marítimo y fluvial."
2.4.01.06,2,4,01,06,Herramientas,Ingresos provenientes de la venta o remate de herramientas.
2.4.01.07,2,4,01,07,"Equipos, Sistemas y Paquetes Informáticos","Ingresos provenientes de la venta de equipos, sistemas y paquetes informáticos."
2.4.01.08,2,4,01,08,Bienes Artísticos y Culturales,Ingresos provenientes de la venta o remate de objetos artísticos y culturales constituyan o no acervo patrimonial público.
2.4.01.09,2,4,01,09,Libros y Colecciones,Ingresos provenientes de la venta de libros y colecciones.
2.4.01.10,2,4,01,10,Ganancias por Tenencia de Bienes Muebles,Ingresos que corresponden a la diferencia entre el valor en libros y el precio de venta de bienes muebles.
2.4.02,2,4,02,,Bienes Inmuebles,"Ingresos por la venta de terrenos, edificios, locales, residencias y otros inmuebles."
2.4.02.01,2,4,02,01,Terrenos,Ingresos provenientes de la venta de predios urbanos y rurales.
2.4.02.02,2,4,02,02,"Edificios, Locales y Residencias","Ingresos provenientes de la venta de edificios, locales y residencias."
2.4.02.03,2,4,02,03,Ganancias por Tenencia de Bienes Inmuebles,Ingresos que corresponden a la diferencia entre el valor en libros y el precio de venta de bienes inmuebles.
2.4.02.99,2,4,02,99,Otros Bienes Inmuebles,Ingresos provenientes de la venta de bienes inmuebles no contemplados en los ítems anteriores.
2.4.03,2,4,03,,Bienes Biológicos,"Ingresos por la venta de animales vivos, inclusive del medio acuático, bosques, plantaciones y demás activos. 15"
2.4.03.12,2,4,03,12,Semovientes,Ingresos por la venta de semovientes y otros animales de cualquier especie.
2.4.03.13,2,4,03,13,Bosques,Ingresos por la venta de bosques o de especies de árboles.
2.4.03.16,2,4,03,16,Ganancias por Tenencia de Bienes Biológicos,Ingresos que corresponden a la diferencia entre el valor en libros y el precio de venta de bienes biológicos.
2.4.03.99,2,4,03,99,Otros Bienes Biológicos,Ingresos por la venta de otros activos biológicos no especificados en los ítems anteriores.
2.4.04,2,4,04,,Intangibles,Ingresos por la transferencia o cesión a terceros del derecho y privilegio para el uso y explotación de activos intangibles.
2.4.04.01,2,4,04,01,Intangibles,Ingresos provenientes de la transferencia o cesión de la propiedad intelectual.
2.4.04.02,2,4,04,02,Ganancias por Tenencia de Activos Intangibles,Ingresos que corresponden a la diferencia entre el valor en libros y el precio de venta de activos intangibles.
2.4.05,2,4,05,,Exportaciones de Petróleo Crudo,Ingresos provenientes de la venta de petróleo crudo.
